;Codigo;Descripcion_aperturas;Clasificador;Periodo;Indice_IPC;v_m_IPC;v_i_a_IPC;Region
5087;11.1;Restaurantes y comidas fuera del hogar;Grupos;201807;141,3403;4,1;27,3;Noroeste
5088;11.1;Restaurantes y comidas fuera del hogar;Grupos;201807;147,7035;3,6;33,2;Cuyo
5089;11.1;Restaurantes y comidas fuera del hogar;Grupos;201807;143,585;1,4;28,4;Patagonia
5125;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201807;147,2596;2,5;30,8;Pampeana
5126;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201807;146,8463;0,9;25,8;Noreste
5127;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201807;147,8402;2,4;26,3;Noroeste
5128;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201807;147,4876;2,8;29,8;Cuyo
5129;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201807;144,5628;1,9;26,3;Patagonia
5130;01.2.1;Café, té, yerba y cacao;Clase;201807;151,7326;4,7;36,8;Pampeana
5131;01.2.1;Café, té, yerba y cacao;Clase;201807;145,9749;3,8;31;Noreste
5132;01.2.1;Café, té, yerba y cacao;Clase;201807;147,9199;5,1;33,5;Noroeste
5133;01.2.1;Café, té, yerba y cacao;Clase;201807;150,3823;2,9;35;Cuyo
5134;01.2.1;Café, té, yerba y cacao;Clase;201807;150,2341;4,5;34,8;Patagonia
5135;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201807;143,1599;3,1;28;Pampeana
5136;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201807;151,1149;2;33,9;Noreste
5137;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201807;145,6277;3,8;29,1;Noroeste
5138;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201807;146,3806;2,4;27,9;Cuyo
5139;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201807;148,4896;2,8;33,3;Patagonia
5166;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201807;144,8046;3;26,9;GBA
5186;11.1;Restaurantes y comidas fuera del hogar;Grupos;201807;144,3009;2,3;26,9;GBA
5194;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201807;141,0436;3;27;GBA
5195;01.2.1;Café, té, yerba y cacao;Clase;201807;153,6353;4,1;34,4;GBA
5196;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201807;137,9817;1,1;24,1;GBA
5255;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201808;148,162;2,4;29,1;Pampeana
5256;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201808;144,8913;3,9;26,2;Noreste
5257;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201808;145,0923;2,5;28,5;Noroeste
5258;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201808;149,4386;1;33,2;Cuyo
5259;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201808;148,0441;2,8;30,3;Patagonia
5345;11.1;Restaurantes y comidas fuera del hogar;Grupos;201808;148,2666;2,7;29,1;Pampeana
5346;11.1;Restaurantes y comidas fuera del hogar;Grupos;201808;144,8883;4,2;26,1;Noreste
5347;11.1;Restaurantes y comidas fuera del hogar;Grupos;201808;145,0938;2,7;28,5;Noroeste
5348;11.1;Restaurantes y comidas fuera del hogar;Grupos;201808;149,6563;1,3;33,3;Cuyo
5349;11.1;Restaurantes y comidas fuera del hogar;Grupos;201808;148,1455;3,2;30,3;Patagonia
5385;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201808;151,7453;3;31,8;Pampeana
5386;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201808;148,8778;1,4;27,2;Noreste
5387;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201808;151,7988;2,7;29,3;Noroeste
5388;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201808;152,3397;3,3;32,4;Cuyo
5389;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201808;147,8598;2,3;27,7;Patagonia
